"current_path","classification","original_path","destination_applied","in_repo_now","active_consumer","referenced_by","requires_local_data","manuscript_relevant","safe_to_move","notes"
"Analysis/02_build_dyadic_rfid_contacts.R","production","Analysis/02_build_dyadic_rfid_contacts.R","KEEP (not moved)",TRUE,"Analysis/run_all_analysis.R stage ""02"", unconditional; also sourced directly by Analysis/run_cookiehab_preprocessing_and_metrics.R","Analysis/run_all_analysis.R; Analysis/run_cookiehab_preprocessing_and_metrics.R; Analysis/README_pipeline.md; Analysis/06_dynamic_social_networks.R; Analysis/14_systems_neuroscience_summary_dashboard.R; Analysis/16_manuscript_behavior_report.R; Analysis/_archive/03b_multiscale_metric_validation_notes.md; README.md; Testing/test_downstream_boundary_and_gap_contract.R; docs/analysis_strategy_for_manuscript.md","yes","yes","yes_with_reference_updates","Builds the dyadic contact tables and dyadic_network_ready.csv consumed by Stage 06. S: paths at lines 57-58 (preprocessed_data in; analysis_ready/06_behavioral_dynamics/dyadic_contacts out). Line 57 contains the data-path ""MMMSociability"" segment - do not rename. Has cookiehab annotation-column handling."
"Analysis/03_primary_raw_movement_phase_stats.R","production","Analysis/03_primary_raw_movement_phase_stats.R","KEEP (not moved)",TRUE,"Analysis/run_all_analysis.R stage ""03"", unconditional","Analysis/run_all_analysis.R; Analysis/README_pipeline.md; Analysis/16_manuscript_behavior_report.R; Analysis/_archive/README_archive.md; Functions/identity_correction_comparison_helpers.R; README.md; docs/analysis_strategy_for_manuscript.md","yes","yes","yes_with_reference_updates","Active secondary phenotype/group-characterization script for broad raw movement; supersedes the archived 18_ and 18b_ scripts. Reads the S: RFID root (line 33) and the endpoint workbook S:/.../Analysis/SIS_Analysis/E9_Behavior_Data.xlsx (line 39). Its canonical migrated output root is analysis_ready/pipeline/03_movement_phase_stats/10min/. Stage 16 reads selected Stage 03 tables into the manuscript package."
"Analysis/04_temporal_instability.R","production","Analysis/04_temporal_instability.R","KEEP (not moved)",TRUE,"Analysis/run_all_analysis.R stage ""04"", unconditional","Analysis/run_all_analysis.R; Analysis/README_pipeline.md; Analysis/14_systems_neuroscience_summary_dashboard.R; Analysis/16_manuscript_behavior_report.R; README.md; docs/analysis_strategy_for_manuscript.md","yes","yes","yes_with_reference_updates","Temporal instability / burstiness features. Reads S:/.../RFID/analysis_ready/03_derived_metrics (line 50) and writes analysis_ready/06_behavioral_dynamics/temporal_instability (line 51). Deliberately NOT migrated to the analysis_ready/pipeline/ layout - _pipeline_setup.R's resolve_stage04_temporal_instability_artifact() documents that this is its one true output location and that there is no legacy fallback. Stage 14 imports it through that registry function."
"Analysis/05_behavioral_state_space.R","production","Analysis/05_behavioral_state_space.R","KEEP (not moved)",TRUE,"Analysis/run_all_analysis.R stage ""05"", unconditional","Analysis/run_all_analysis.R; Analysis/README_pipeline.md; Analysis/14_systems_neuroscience_summary_dashboard.R; Analysis/16_manuscript_behavior_report.R; README.md; docs/analysis_strategy_for_manuscript.md","yes","indirect","yes_with_reference_updates","State diversity and switching tables from Stage 01 metrics. S: paths at lines 44-45 (03_derived_metrics in, 06_behavioral_dynamics/state_space out). Feeds Stage 14 only; not in the primary manuscript registry."
"Analysis/06_dynamic_social_networks.R","production","Analysis/06_dynamic_social_networks.R","KEEP (not moved)",TRUE,"Analysis/run_all_analysis.R stage ""06"", unconditional","Analysis/run_all_analysis.R; Analysis/README_pipeline.md; Analysis/02_build_dyadic_rfid_contacts.R; Analysis/14_systems_neuroscience_summary_dashboard.R; Analysis/16_manuscript_behavior_report.R; README.md; Testing/test_stage19_identity_and_stage06_schema.R; docs/analysis_strategy_for_manuscript.md","yes","indirect","yes_with_reference_updates","Dynamic social network features from the Stage 02 dyadic contacts, with a Stage 01 metric fallback. S: paths at lines 46, 47, 52 (reads .../dyadic_contacts/tables/dyadic_network_ready.csv). Its output schema is contract-tested by Testing/test_stage19_identity_and_stage06_schema.R."
"Analysis/07_gamm_trajectory_features.R","production","Analysis/07_gamm_trajectory_features.R","KEEP (not moved)",TRUE,"Analysis/run_all_analysis.R stage ""07"", unconditional","Analysis/run_all_analysis.R; Analysis/README_pipeline.md; Analysis/14_systems_neuroscience_summary_dashboard.R; Analysis/16_manuscript_behavior_report.R; Analysis/_archive/README_archive.md; README.md; docs/analysis_strategy_for_manuscript.md","yes","indirect","yes_with_reference_updates","Smallest active stage (8 KB). GAMM trajectory feature extraction; the active replacement for the archived _archive/04_gamm_movement_proximity_phase_and_early_window.R. S: paths at lines 44-45."
"Analysis/08_hmm_behavioral_states_optional.R","production","Analysis/08_hmm_behavioral_states_optional.R","KEEP (not moved)",TRUE,"Analysis/run_all_analysis.R stage ""08"", GATED behind RUN_OPTIONAL_HMM = getOption(""mmm.run_optional_hmm"", TRUE) - default ON","Analysis/run_all_analysis.R; Analysis/README_pipeline.md; Analysis/14_systems_neuroscience_summary_dashboard.R; Analysis/16_manuscript_behavior_report.R; README.md; Testing/audit_first_night_candidate_set_scores.R; Testing/audit_first_night_domain_scores.R; Testing/audit_first_night_domain_scores_v2.R; Testing/audit_first_night_window_sensitivity.R; docs/analysis_strategy_for_manuscript.md; manuscript/BehavioralDynamics_schema/R/20_supplementary_provenance_schema.R","yes","yes","yes_with_reference_updates","Optional HMM state model, but the option defaults TRUE so it runs by default. Reads the S: RFID root (line 48). Configured primary is 10min_based with 5min_based always run as the required sensitivity; canonicalizes AnimalNum via canonical_animal_id() and inherits Group/Sex only from the current canonical Stage 01 roster, failing closed on alias/roster conflicts. Its outputs are the ONLY HMM artifacts Stage 14 is allowed to import, and it is cited in manuscript supplementary provenance. Heavily audited by the Testing/audit_hmm_state_architecture_* family."
"Analysis/09_early_prediction_model_ladder.R","production","Analysis/09_early_prediction_model_ladder.R","KEEP (not moved)",TRUE,"Analysis/run_all_analysis.R stage ""09"", unconditional","Analysis/run_all_analysis.R; Analysis/README_pipeline.md; Analysis/10_systems_feature_prediction_ladder.R; Analysis/14_systems_neuroscience_summary_dashboard.R; Analysis/16_manuscript_behavior_report.R; Analysis/_archive/README_archive.md; Functions/first_night_window_helpers.R; Functions/identity_correction_comparison_helpers.R; README.md; Testing/audit_first_night_candidate_set_decision.R; Testing/audit_first_night_candidate_set_scores.R; Testing/audit_first_night_domain_scores_v2.R; Testing/audit_first_night_heatmap_v2.R; Testing/audit_first_night_time_anchor.R; Testing/audit_stage09_stale_artifacts.R; Testing/test_downstream_boundary_and_gap_contract.R; Testing/test_first_night_window_parity.R; Testing/test_stage09_endpoint_identity.R; Testing/test_stage09_primary_window.R; docs/analysis_strategy_for_manuscript.md","yes","yes","yes_with_reference_updates","THE primary manuscript analysis: does behavior in the first active 12 h after the first cage change predict later CombZ. Canonical resolution 10-min bins, 5-min as predefined sensitivity. Reads the S: RFID root (line 53) and the endpoint workbook S:/.../SIS_Analysis/E9_Behavior_Data.xlsx (line 61). Canonical output root analysis_ready/pipeline/09_early_prediction/10min/, resolved for downstream consumers by resolve_stage09_early_prediction_artifact() in _pipeline_setup.R (canonical class beats legacy class globally). Second-largest active stage (120 KB) and the most test-covered."
"Analysis/10_systems_feature_prediction_ladder.R","production","Analysis/10_systems_feature_prediction_ladder.R","KEEP (not moved)",TRUE,"Analysis/run_all_analysis.R stage ""10"", GATED behind RUN_SYSTEMS_EXTENSION = getOption(""mmm.run_systems_extension"", TRUE) - default ON","Analysis/run_all_analysis.R; Analysis/README_pipeline.md; Analysis/16_manuscript_behavior_report.R; README.md; Testing/audit_stage09_stale_artifacts.R; docs/analysis_strategy_for_manuscript.md","yes","indirect","yes_with_reference_updates","Secondary systems-extension prediction ladder built on Stage 09; framed as extension/sensitivity, not a replacement. Reads the S: RFID root (line 70). Canonical output root analysis_ready/pipeline/10_systems_prediction/10min/. README_pipeline.md states Stage 10 predictive claims remain exploratory and are NOT promoted to the primary registry by Stage 16."
"Analysis/11_behavioral_adaptation_kinetics.R","production","Analysis/11_behavioral_adaptation_kinetics.R","KEEP (not moved)",TRUE,"Analysis/run_all_analysis.R stage ""11"", unconditional","Analysis/run_all_analysis.R; Analysis/README_pipeline.md; Analysis/14_systems_neuroscience_summary_dashboard.R; Analysis/16_manuscript_behavior_report.R; README.md; Testing/audit_phase_bug_impact.R; Testing/test_phase_classification.R; docs/analysis_strategy_for_manuscript.md; manuscript/BehavioralDynamics_schema/R/21_supp_warnings.R; manuscript/BehavioralDynamics_schema/README.md","yes","yes","yes_with_reference_updates","Adaptation/recovery kinetics from Stage 01 metrics. Reads the S: RFID root (line 35). Named in the manuscript supplementary-warnings schema (manuscript/BehavioralDynamics_schema/R/21_supp_warnings.R) and covered by the phase-classification tests."
